adduser	3.118ubuntu5
libjcat1:amd64	0.1.9-1
libjpeg8:amd64	8c-2ubuntu10
libjpeg-turbo8:amd64	2.1.2-0ubuntu1
libjq1:amd64	1.6-2.1ubuntu3.1
libjs-jquery	3.6.0+dfsg+~3.5.13-1
libjson-c5:amd64	0.15-3~ubuntu1.22.04.2
libjson-glib-1.0-0:amd64	1.6.6-1build1
libjson-glib-1.0-common	1.6.6-1build1
libjs-sphinxdoc	4.3.2-1
libjs-underscore	1.13.2~dfsg-2
libk5crypto3:amd64	1.19.2-2ubuntu0.7
libkeyutils1:amd64	1.6.1-2ubuntu3
libklibc:amd64	2.0.10-4ubuntu0.2
libkmod2:amd64	29-1ubuntu1
libkrb5-3:amd64	1.19.2-2ubuntu0.7
libkrb5support0:amd64	1.19.2-2ubuntu0.7
libksba8:amd64	1.6.0-2ubuntu0.2
liblcms2-2:amd64	2.12~rc1-2build2
libldap-2.5-0:amd64	2.5.20+dfsg-0ubuntu0.22.04.1
libldap-common	2.5.20+dfsg-0ubuntu0.22.04.1
libllvm15:amd64	1:15.0.7-0ubuntu0.22.04.3
liblmdb0:amd64	0.9.24-1build2
liblocale-gettext-perl	1.07-4build3
liblsan0:amd64	12.3.0-1ubuntu1~22.04.3
liblvm2cmd2.03:amd64	2.03.11-2.1ubuntu5
liblz4-1:amd64	1.9.3-2build2
liblzma5:amd64	5.2.5-2ubuntu1
liblzo2-2:amd64	2.10-2build3
libmagic1:amd64	1:5.41-3ubuntu0.1
libmagic-mgc	1:5.41-3ubuntu0.1
libmaxminddb0:amd64	1.5.2-1build2
libmbim-glib4:amd64	1.28.0-1~ubuntu20.04.2
libmbim-proxy	1.28.0-1~ubuntu20.04.2
libmd0:amd64	1.0.4-1build1
libmm-glib0:amd64	1.20.0-1~ubuntu22.04.4
libmnl0:amd64	1.0.4-3build2
libmodule-find-perl	0.15-1
libmodule-scandeps-perl	1.31-1ubuntu0.1
libmount1:amd64	2.37.2-4ubuntu3.5
libmpc3:amd64	1.2.1-2build1
libmpdec3:amd64	2.5.1-2build2
libmpfr6:amd64	4.1.0-3build3
libmspack0:amd64	0.10.1-2build2
libncurses6:amd64	6.3-2ubuntu0.1
libncursesw6:amd64	6.3-2ubuntu0.1
libndp0:amd64	1.8-0ubuntu3.1
libnetfilter-conntrack3:amd64	1.0.9-1
libnetplan0:amd64	0.106.1-7ubuntu0.22.04.4
libnettle8:amd64	3.7.3-1build2
libnewt0.52:amd64	0.52.21-5ubuntu2
libnfnetlink0:amd64	1.0.1-3build3
libnfsidmap1:amd64	1:2.6.1-1ubuntu1.2
libnftables1:amd64	1.0.2-1ubuntu3
libnftnl11:amd64	1.2.1-1build1
libnghttp2-14:amd64	1.43.0-1ubuntu0.2
libnginx-mod-http-geoip2	1.18.0-6ubuntu14.8
libnginx-mod-http-image-filter	1.18.0-6ubuntu14.8
libnginx-mod-http-xslt-filter	1.18.0-6ubuntu14.8
libnginx-mod-mail	1.18.0-6ubuntu14.8
libnginx-mod-stream	1.18.0-6ubuntu14.8
libnginx-mod-stream-geoip2	1.18.0-6ubuntu14.8
libnl-3-200:amd64	3.5.0-0.1
libnl-genl-3-200:amd64	3.5.0-0.1
libnl-route-3-200:amd64	3.5.0-0.1
libnm0:amd64	1.36.6-0ubuntu2.2
libnpth0:amd64	1.6-3build2
libnsl2:amd64	1.3.0-2build2
libnsl-dev:amd64	1.3.0-2build2
libnspr4:amd64	2:4.35-0ubuntu0.22.04.1
libnss3:amd64	2:3.98-0ubuntu0.22.04.3
libnss-systemd:amd64	249.11-0ubuntu3.17
libntfs-3g89	1:2021.8.22-3ubuntu1.2
libnuma1:amd64	2.0.14-3ubuntu2
libnvidia-cfg1-535:amd64	535.288.01-0ubuntu0.22.04.1
libnvidia-common-535	535.288.01-0ubuntu0.22.04.1
libnvidia-compute-390:amd64	390.157-0ubuntu0.22.04.2
libnvidia-compute-418-server:amd64	418.226.00-0ubuntu5~0.22.04.1
libnvidia-compute-450-server:amd64	450.248.02-0ubuntu0.22.04.1
libnvidia-compute-470:amd64	470.256.02-0ubuntu0.22.04.1
libnvidia-compute-470-server:amd64	470.256.02-0ubuntu0.22.04.1
libnvidia-compute-535:amd64	535.288.01-0ubuntu0.22.04.1
libnvidia-compute-535-server:amd64	535.288.01-0ubuntu0.22.04.1
libnvidia-compute-545:amd64	545.29.06-0ubuntu0.22.04.2
libnvidia-compute-565-server:amd64	565.57.01-0ubuntu0.22.04.4
libnvidia-compute-570:amd64	570.211.01-0ubuntu0.22.04.1
libnvidia-compute-570-server:amd64	570.211.01-0ubuntu0.22.04.1
libnvidia-compute-580:amd64	580.126.09-0ubuntu0.22.04.1
libnvidia-compute-580-server:amd64	580.126.09-0ubuntu0.22.04.1
libnvidia-compute-590:amd64	590.48.01-0ubuntu0.22.04.1
libnvidia-compute-590-server:amd64	590.48.01-0ubuntu0.22.04.1
libnvidia-decode-535:amd64	535.288.01-0ubuntu0.22.04.1
libnvidia-egl-wayland1:amd64	1:1.1.9-1.1ubuntu0.1
libnvidia-encode-535:amd64	535.288.01-0ubuntu0.22.04.1
libnvidia-extra-535:amd64	535.288.01-0ubuntu0.22.04.1
libnvidia-fbc1-535:amd64	535.288.01-0ubuntu0.22.04.1
libnvidia-gl-535:amd64	535.288.01-0ubuntu0.22.04.1
libogg0:amd64	1.3.5-0ubuntu3
libonig5:amd64	6.9.7.1-2build1
libopeniscsiusr	2.1.5-1ubuntu1.1
libopus0:amd64	1.3.1-0.1build2
libp11-kit0:amd64	0.24.0-6build1
libpackagekit-glib2-18:amd64	1.2.5-2ubuntu3
libpam0g:amd64	1.4.0-11ubuntu2.6
libpam-cap:amd64	1:2.44-1ubuntu0.22.04.2
libpam-modules:amd64	1.4.0-11ubuntu2.6
libpam-modules-bin	1.4.0-11ubuntu2.6
libpam-runtime	1.4.0-11ubuntu2.6
libpam-systemd:amd64	249.11-0ubuntu3.17
libpango-1.0-0:amd64	1.50.6+ds-2ubuntu1
libpangocairo-1.0-0:amd64	1.50.6+ds-2ubuntu1
libpangoft2-1.0-0:amd64	1.50.6+ds-2ubuntu1
libparted2:amd64	3.4-2build1
libparted-fs-resize0:amd64	3.4-2build1
libpcap0.8:amd64	1.10.1-4ubuntu1.22.04.1
libpcaudio0:amd64	1.1-6build2
libpci3:amd64	1:3.7.0-6
libpciaccess0:amd64	0.16-3
libpcre2-8-0:amd64	10.39-3ubuntu0.1
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1
libpcsclite1:amd64	1.9.5-3ubuntu1
libperl5.34:amd64	5.34.0-3ubuntu1.5
libpipeline1:amd64	1.5.5-1
libpixman-1-0:amd64	0.40.0-1ubuntu0.22.04.1
libplist3:amd64	2.2.0-6build2
libplymouth5:amd64	0.9.5+git20211018-1ubuntu3
libpng16-16:amd64	1.6.37-3ubuntu0.4
libpolkit-agent-1-0:amd64	0.105-33
libpolkit-gobject-1-0:amd64	0.105-33
libpopt0:amd64	1.18-3build1
libportaudio2:amd64	19.6.0-1.1
libportaudiocpp0:amd64	19.6.0-1.1
libproc-processtable-perl:amd64	0.634-1build1
libprocps8:amd64	2:3.3.17-6ubuntu2.1
libpsl5:amd64	0.21.0-1.2build2
libpulse0:amd64	1:15.99.1+dfsg1-1ubuntu2.2
libpython3.10:amd64	3.10.12-1~22.04.15
libpython3.10-dev:amd64	3.10.12-1~22.04.15
libpython3.10-minimal:amd64	3.10.12-1~22.04.15
libpython3.10-stdlib:amd64	3.10.12-1~22.04.15
libpython3-dev:amd64	3.10.6-1~22.04.1
libpython3-stdlib:amd64	3.10.6-1~22.04.1
libqmi-glib5:amd64	1.32.0-1ubuntu0.22.04.1
libqmi-proxy	1.32.0-1ubuntu0.22.04.1
libquadmath0:amd64	12.3.0-1ubuntu1~22.04.3
libreadline8:amd64	8.1.2-1
librsvg2-2:amd64	2.52.5+dfsg-3ubuntu0.2
librsvg2-common:amd64	2.52.5+dfsg-3ubuntu0.2
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4
libsamplerate0:amd64	0.2.2-1build1
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1.2
libseccomp2:amd64	2.5.3-2ubuntu3~22.04.1
libselinux1:amd64	3.3-1build2
libsemanage2:amd64	3.3-1build2
libsemanage-common	3.3-1build2
libsensors5:amd64	1:3.6.0-7ubuntu1
libsensors-config	1:3.6.0-7ubuntu1
libsepol2:amd64	3.3-1build1
libsgutils2-2:amd64	1.46-1ubuntu0.22.04.1
libsigsegv2:amd64	2.13-1ubuntu3
libslang2:amd64	2.3.2-5build4
libsm6:amd64	2:1.2.3-1build2
libsmartcols1:amd64	2.37.2-4ubuntu3.5
libsmbios-c2	2.4.3-1build1
libsndfile1:amd64	1.0.31-2ubuntu0.2
libsodium23:amd64	1.0.18-1ubuntu0.22.04.1
libsonic0:amd64	0.2.0-11build1
libsort-naturally-perl	1.03-2
libsource-highlight4v5	3.1.9-4.1build2
libsource-highlight-common	3.1.9-4.1build2
libsqlite3-0:amd64	3.37.2-2ubuntu0.5
libss2:amd64	1.46.5-2ubuntu1.2
libssh-4:amd64	0.9.6-2ubuntu0.22.04.6
libssl3:amd64	3.0.2-0ubuntu1.21
libstdc++-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libstdc++6:amd64	12.3.0-1ubuntu1~22.04.3
libstemmer0d:amd64	2.2.0-1build1
libsystemd0:amd64	249.11-0ubuntu3.17
libtasn1-6:amd64	4.18.0-4ubuntu0.2
libtcl8.6:amd64	8.6.12+dfsg-1build1
libteamdctl0:amd64	1.31-1build2
libterm-readkey-perl	2.38-1build4
libtext-charwidth-perl	0.04-10build3
libtext-iconv-perl	1.7-7build3
libtext-wrapi18n-perl	0.06-9
libthai0:amd64	0.1.29-1build1
libthai-data	0.1.29-1build1
libtiff5:amd64	4.3.0-6ubuntu0.12
libtinfo6:amd64	6.3-2ubuntu0.1
libtirpc3:amd64	1.3.2-2ubuntu0.1
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev:amd64	1.3.2-2ubuntu0.1
libtsan0:amd64	11.4.0-1ubuntu1~22.04.3
libtsan2:amd64	12.3.0-1ubuntu1~22.04.3
libtss2-esys-3.0.2-0:amd64	3.2.0-1ubuntu1.1
libtss2-mu0:amd64	3.2.0-1ubuntu1.1
libtss2-sys1:amd64	3.2.0-1ubuntu1.1
libtss2-tcti-cmd0:amd64	3.2.0-1ubuntu1.1
libtss2-tcti-device0:amd64	3.2.0-1ubuntu1.1
libtss2-tcti-mssim0:amd64	3.2.0-1ubuntu1.1
libtss2-tcti-swtpm0:amd64	3.2.0-1ubuntu1.1
libubsan1:amd64	12.3.0-1ubuntu1~22.04.3
libuchardet0:amd64	0.0.7-1build2
libudev1:amd64	249.11-0ubuntu3.17
libudisks2-0:amd64	2.9.4-1ubuntu2.3
libunistring2:amd64	1.0-1
libunwind8:amd64	1.3.2-2build2.1
libupower-glib3:amd64	0.99.17-1
liburcu8:amd64	0.13.1-1
libusb-1.0-0:amd64	2:1.0.25-1ubuntu2
libusbmuxd6:amd64	2.0.2-3build2
libutempter0:amd64	1.2.1-2build2
libuuid1:amd64	2.37.2-4ubuntu3.5
libuv1:amd64	1.43.0-1ubuntu0.1
libvdpau1:amd64	1.4-3build2
libvolume-key1	0.3.12-3.1build3
libvorbis0a:amd64	1.3.7-1build2
